Retailer,Region,State,City,Product,Price per Unit,Units Sold,Total Revenue,Operating Profit,Sales Method
Walmart,Southeast,Florida,Orlando,Women's Apparel,103,218,22454,1257,Online
West Gear,South,Louisiana,New Orleans,Women's Apparel,103,163,16789,806,Online
Sports Direct,South,Alabama,Birmingham,Men's Street Footwear,10,700,7000,3150,Outlet
Sports Direct,South,Alabama,Birmingham,Women's Street Footwear,15,575,8625,3881,Outlet
Sports Direct,South,Alabama,Birmingham,Women's Street Footwear,15,475,7125,3206,Outlet
West Gear,Midwest,Missouri,St. Louis,Women's Street Footwear,15,475,7125,2494,In-store
Sports Direct,South,Mississippi,Jackson,Men's Athletic Footwear,20,450,9000,3150,Online
Sports Direct,South,Mississippi,Jackson,Women's Street Footwear,15,450,6750,2700,Online
West Gear,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,20,450,9000,2700,In-store
Foot Locker,Northeast,New York,New York,Men's Street Footwear,44,434,19096,993,Outlet
Foot Locker,Midwest,Michigan,Detroit,Women's Street Footwear,20,425,8500,,In-store
West Gear,Midwest,Missouri,St. Louis,Women's Street Footwear,15,425,6375,2231,In-store
West Gear,West,Utah,Salt Lake City,Women's Street Footwear,20,,8500,2975,In-store
Amazon,Midwest,Ohio,Columbus,Women's Street Footwear,20,,8500,3400,Online
Foot Locker,South,Mississippi,Jackson,Women's Street Footwear,15,425,6375,2550,Online
Walmart,South,Mississippi,Jackson,Women's Street Footwear,20,425,8500,3400,Online
Walmart,South,Arkansas,Little Rock,Women's Apparel,,,,3400,Online
Walmart,South,Arkansas,Little Rock,Men's Athletic Footwear,20,425,8500,2975,Online
Walmart,Northeast,New York,New York,Men's Street Footwear,48,420,20160,1129,Outlet
Walmart,Northeast,New York,New York,Men's Street Footwear,39,408,15912,875,Outlet
Walmart,Northeast,New York,New York,Men's Street Footwear,46,403,18538,1038,Outlet
West Gear,West,Utah,Salt Lake City,Women's Street Footwear,20,400,8000,2800,In-store
West Gear,West,Utah,Salt Lake City,Women's Athletic Footwear,20,400,8000,,In-store
West Gear,West,Utah,Salt Lake City,Men's Athletic Footwear,20,400,8000,2800,In-store
West Gear,West,Utah,Salt Lake City,Men's Athletic Footwear,20,400,8000,2800,In-store
Walmart,South,Mississippi,Jackson,Women's Athletic Footwear,20,400,8000,3200,Online
Sports Direct,South,Mississippi,Jackson,Women's Street Footwear,15,400,6000,,Online
Foot Locker,Northeast,New York,New York,Men's Street Footwear,47,400,18800,978,Outlet
Foot Locker,Northeast,New York,New York,Men's Street Footwear,40,390,15600,811,Outlet
Foot Locker,Northeast,New York,New York,Men's Street Footwear,33,388,12804,666,Outlet
Foot Locker,Northeast,New York,New York,Men's Street Footwear,34,384,13056,679,Outlet
Foot Locker,Southeast,Georgia,Atlanta,Men's Street Footwear,31,376,11656,559,Outlet
Sports Direct,South,Alabama,Birmingham,Women's Athletic Footwear,20,375,7500,4125,Outlet
Foot Locker,Midwest,Michigan,Detroit,Women's Street Footwear,20,375,7500,2625,In-store
West Gear,West,Utah,Salt Lake City,Women's Athletic Footwear,20,375,7500,3000,In-store
West Gear,West,Utah,Salt Lake City,Women's Athletic Footwear,20,375,7500,3000,In-store
Foot Locker,South,Mississippi,Jackson,Women's Street Footwear,15,375,5625,,Online
West Gear,South,Arkansas,Little Rock,Men's Athletic Footwear,15,375,5625,1969,Online
West Gear,South,Arkansas,Little Rock,Women's Street Footwear,15,375,5625,2250,Online
Foot Locker,Northeast,New York,New York,Men's Street Footwear,41,375,15375,800,Outlet
Walmart,South,Texas,Houston,Women's Street Footwear,29,374,10846,445,Outlet
Walmart,South,Texas,Houston,Women's Street Footwear,29,374,10846,445,Outlet
